Food,Calories,Protein,Fat,Carbohydrates,Nutrition Density
biscuit with egg bacon,458,17.0,31.1,28.6,272.958
pupusas con queso,300,13.7,15.5,26.2,439.9
apple croissant,145,4.2,5.0,21.1,49.733
refried red beans,336,11.7,16.1,36.0,156.2
tostada with guacamole,180,6.2,11.6,16.0,247.853
chicken sandwich,468,30.4,20.9,39.1,94.051
fried rice,228,6.5,3.2,43.4,75.203
pupusas del cerdo,283,14.0,12.7,28.1,119.087
turkey pot pie,699,25.8,34.9,70.3,139.4
cheese croissant,331,7.4,16.7,37.6,108.3
chimichanga with beef,425,19.6,19.7,42.8,153.9
french toast with butter,178,5.2,9.4,18.0,70.093
ham egg cheese sandwich,347,19.2,16.3,30.9,284.0
english muffin with butter,189,4.9,5.8,30.4,146.209
savoury noodle one pan dinner tandaco,172,0.0,1.2,5.5,6.7
ham cheese sandwich,352,20.7,15.5,33.3,205.416
sweet gefilte fish,35,3.8,0.7,3.1,18.677
poached egg,72,6.3,4.7,0.4,40.398
tostada with beef cheese,315,19.0,16.3,22.8,280.498
tostada with beans cheese,223,9.6,9.9,26.5,259.467
pork tamale,247,10.4,12.8,22.4,156.766
nachos with cheese,274,3.5,17.2,27.9,51.581
pulled pork in barbecue sauce,418,32.8,11.0,46.7,206.7
baked potato with cheese sauce,474,14.6,28.7,46.5,429.9
baked beans,310,11.1,10.3,43.3,76.2
arroz con frijoles,220,6.8,5.6,35.6,109.3
taco with beef cheese lettuce,156,6.1,8.8,13.7,93.825
burrito with beans cheese beef,165,7.3,6.6,19.8,103.1
egg mix,30,2.4,2.2,0.098,4.876
falafel,57,2.3,3.0,5.4,10.763
taco salad with chili con carne,193,11.6,8.8,17.7,205.9
wonton wrappers,93,3.1,0.5,18.5,38.815
hushpuppies,512,11.7,20.5,69.9,533.994
chicken pot pie,598,14.6,34.6,57.3,177.7
general tsos chicken,1578,69.0,87.5,128.3,368.673
burrito with beans cheese,379,13.6,11.2,57.8,324.946
