Food,Calories,Protein,Fat,Carbohydrates,Nutrition Density
abalone,89,14.5,0.6,5.1,51.092
queen crab raw,25,5.2,0.3,0.0,15.607
whelk cooked,78,13.5,0.2,4.4,54.806
oyster cooked,41,4.7,1.2,2.5,17.971
eastern oyster cooked,8,0.7,0.2,0.7,8.598
blue mussels cooked,344,47.6,9.0,14.8,178.2
octopus raw,23,4.2,0.3,0.6,23.044
spiny lobster cooked,233,43.0,3.2,5.1,159.731
blue mussels raw,129,17.9,3.4,5.5,83.72
queen crab cooked,98,20.2,1.3,0.0,58.197
dungeness crab cooked,140,28.3,1.6,1.2,111.171
dungeness crab raw,140,28.4,1.6,1.2,112.564
shrimp fried,52,1.3,3.2,4.8,14.433
shrimp raw,4,0.7,0.023,0.041,3.712
blue crab cooked,71,15.2,0.6,0.0,16.719
shrimp imitation,29,3.5,0.4,2.6,12.119
conch baked,165,33.4,1.5,2.2,163.446
squid raw,26,4.4,0.4,0.9,16.386
scallop raw,10,1.8,0.091,0.5,3.417
lobster raw,116,24.8,1.1,0.0,152.362
scallop imitation,28,3.6,0.1,3.0,9.105
blue crab raw,18,3.8,0.2,0.018,23.615
whelk raw,39,6.7,0.1,2.2,27.678
spiny lobster raw,234,43.1,3.2,5.1,160.501
clams canned,227,38.8,2.5,9.4,159.2
lobster cooked,134,28.5,1.3,0.0,32.314
eastern oyster fried,29,1.3,1.8,1.7,15.5
clams raw,195,33.3,2.2,8.1,136.0
octopus cooked,139,25.3,1.8,3.7,135.853
eastern oyster raw,8,0.7,0.2,0.8,9.448
oyster fried,61,2.1,3.0,6.7,17.861
sturgeon smoked,49,8.8,1.2,0.0,15.175
chinook salmon smoked,159,24.9,5.9,0.0,47.038
cisco smoked,50,4.6,3.4,0.0,15.576
haddock smoked,33,7.1,0.3,0.0,21.719
whitefish smoked,147,31.8,1.3,0.0,58.398
red salmon sockeye filets smoked,373,65.5,12.3,0.0,141.587
